,commands,torques,positions,velocities
0,[0.5],[-0.021920950906815184],[0.0],[0.0]
1,[0.5],[-0.021920950906815184],[-0.0006467855845093788],[-0.15522854028225092]
2,[0.5],[-0.021920950906815184],[-0.0014452611930830905],[-0.1916341460576908]
3,[0.5],[-0.021920950906815184],[-0.002277313405562519],[-0.19969253099506284]
4,[0.5],[-0.021920950906815184],[-0.003114773532562751],[-0.20099043048005574]
5,[0.5],[-0.021920950906815184],[-0.00395093143546637],[-0.20067789669686856]
6,[0.5],[-0.021920950906815184],[-0.004784196341206758],[-0.19998357737769326]
7,[0.5],[-0.021920950906815184],[-0.0056141987744610395],[-0.1992005839810276]
8,[0.5],[-0.021920950906815184],[-0.006440860592408378],[-0.1983988363073613]
9,[0.5],[-0.021920950906815184],[-0.007264173122206507],[-0.19759500715155087]
10,[0.5],[-0.021920950906815184],[-0.008084144231069814],[-0.19679306612719388]
11,[0.5],[-0.021920950906815184],[-0.008900785698757052],[-0.19599395224493713]
12,[0.5],[-0.021920950906815184],[-0.009714110205053169],[-0.19519788151106812]
13,[0.5],[-0.021920950906815184],[-0.010524130611114917],[-0.19440489745481954]
14,[0.5],[-0.021920950906815184],[-0.011330859788068257],[-0.19361500246880162]
15,[0.5],[-0.021920950906815184],[-0.012134310576165538],[-0.19282818914334754]
16,[0.5],[-0.021920950906815184],[-0.012934495775091434],[-0.1920444477422154]
17,[0.5],[-0.021920950906815184],[-0.013731428141700938],[-0.19126376798628075]
18,[0.5],[-0.021920950906815184],[-0.014525120389531224],[-0.19048613947926862]
19,[0.5],[-0.021920950906815184],[-0.015315585188737518],[-0.18971155180951071]
20,[0.5],[-0.021920950906815184],[0.17386409206646405],[45.40312254124838]
21,[0.5],[-0.021920950906815184],[0.47746795820618804],[72.86492787353376]
22,[0.5],[-0.021920950906815184],[0.8127069190931955],[80.4573506128818]
23,[0.5],[-0.021920950906815184],[1.1544996712985762],[82.03026052929138]
24,[0.5],[-0.021920950906815184],[1.497391793611221],[82.29410935503476]
25,[0.5],[-0.021920950906815184],[1.840493819931638],[82.3444863169001]
26,[0.5],[-0.021920950906815184],[2.1839668605408606],[82.4335297462134]
27,[0.5],[-0.021920950906815184],[2.5281753895521812],[82.61004696271696]
28,[0.5],[-0.021920950906815184],[2.8734562883967056],[82.86741572268583]
29,[0.5],[-0.021920950906815184],[3.22003633430982],[83.1792110191475]
30,[0.5],[-0.021920950906815184],[3.567994156923796],[83.50987742735416]
31,[0.5],[-0.021920950906815184],[3.917245718408348],[83.82037475629248]
32,[0.5],[-0.021920950906815184],[4.267550410686109],[84.07312614666264]
33,[0.5],[-0.021920950906815184],[4.61853727095054],[84.23684646346337]
34,[0.5],[-0.021920950906815184],[4.969749025165722],[84.29082101164359]
35,[0.5],[-0.021920950906815184],[5.320698771266327],[84.22793906414532]
36,[0.5],[-0.021920950906815184],[5.670931541370927],[84.05586482510388]
37,[0.5],[-0.021920950906815184],[6.020081746284753],[83.7960491793183]
38,[0.5],[-0.021920950906815184],[6.367918141377321],[83.48073482221625]
39,[0.5],[-0.021920950906815184],[6.71437032768782],[83.14852471451972]
40,[0.5],[-0.021920950906815184],[7.0595341778789065],[82.83932404586092]
41,[0.5],[-0.021920950906815184],[7.4036569623059805],[82.58946826249773]
42,[0.5],[-0.021920950906815184],[7.747105540163555],[82.42765868581799]
43,[0.5],[-0.021920950906815184],[8.090322433316855],[82.37205435679175]
44,[0.5],[-0.021920950906815184],[8.43377504863868],[82.42862767723803]
45,[0.5],[-0.021920950906815184],[8.777903166049061],[82.59074817849138]
46,[0.5],[-0.021920950906815184],[9.123069487486525],[82.83991714499116]
47,[0.5],[-0.021920950906815184],[9.469517788646279],[83.1475922783407]
48,[0.5],[-0.021920950906815184],[9.817343006668185],[83.47805232525778]
49,[0.5],[-0.021920950906815184],[10.166477173073059],[83.7921999371697]
50,[0.5],[-0.021920950906815184],[10.516694092581119],[84.05206068193456]
51,[0.5],[-0.021920950906815184],[10.867633793028043],[84.22552810726164]
52,[0.5],[-0.021920950906815184],[11.218845047389449],[84.29070104673721]
53,[0.5],[-0.021920950906815184],[11.56984114311973],[84.23906297526733]
54,[0.5],[-0.021920950906815184],[11.920161360260323],[84.07685211374253]
55,[0.5],[-0.021920950906815184],[12.269429207387615],[83.82428331055029]
56,[0.5],[-0.021920950906815184],[12.61739890999607],[83.51272862602912]
57,[0.5],[-0.021920950906815184],[12.96398387578066],[83.18039178830155]
58,[0.5],[-0.021920950906815184],[13.309264182589137],[82.86727363403462]
59,[0.5],[-0.021920950906815184],[13.653473560693184],[82.61025074497117]
60,[0.5],[-0.021920950906815184],[13.99696903131362],[82.43891294890456]
61,[0.5],[-0.021920950906815184],[14.340187927071847],[82.37253498197461]
62,[0.5],[-0.021920950906815184],[14.683597550282045],[82.4183095704472]
63,[0.5],[-0.021920950906815184],[15.027642614176768],[82.57081533473374]
64,[0.5],[-0.021920950906815184],[15.372695292478475],[82.81264279240975]
65,[0.5],[-0.021920950906815184],[15.719012439348777],[83.11611524887243]
66,[0.5],[-0.021920950906815184],[16.06670433704584],[83.44605544729579]
67,[0.5],[-0.021920950906815184],[16.415718941402673],[83.76350504563942]
68,[0.5],[-0.021920950906815184],[16.765844658795825],[84.03017217435622]
69,[0.5],[-0.021920950906815184],[17.11673290244805],[84.2131784765341]
70,[0.5],[-0.021920950906815184],[17.46793902165318],[84.28946860923143]
71,[0.5],[-0.021920950906815184],[17.81897707935938],[84.24913384948806]
72,[0.5],[-0.021920950906815184],[18.169381158989374],[84.09697911119798]
73,[0.5],[-0.021920950906815184],[18.518764309927523],[83.85195622515569]
74,[0.5],[-0.021920950906815184],[18.86686649832355],[83.54452521504653]
